fips,county_name,state_abbr,state_name,CHD,DIABETES,OBESITY,population,ACCESS2,CHECKUP,LPA,MHLTH,median_household_income,poverty_rate
01001,Autauga,AL,Alabama,5.6,11.4,39.5,60342,9.1,79.4,26.0,18.0,68315,11.4
01003,Baldwin,AL,Alabama,5.5,10.4,35.0,253507,8.8,77.5,23.7,16.8,71039,10.2
01005,Barbour,AL,Alabama,7.4,16.5,47.1,24585,14.8,79.3,34.5,19.9,39712,24.2
01007,Bibb,AL,Alabama,7.0,13.9,43.7,21868,13.0,77.3,31.9,19.9,50669,20.6
01009,Blount,AL,Alabama,6.3,11.3,36.0,59816,12.0,77.0,27.7,18.9,57440,14.2
01011,Bullock,AL,Alabama,8.8,21.3,51.0,9897,18.2,80.3,42.7,21.3,36136,27.9
01013,Butler,AL,Alabama,6.7,15.2,40.7,18382,11.8,80.1,35.1,20.2,44429,21.1
01015,Calhoun,AL,Alabama,6.4,12.9,39.1,116429,11.0,77.6,31.0,19.3,54339,18.0
01017,Chambers,AL,Alabama,6.5,14.5,41.6,34079,12.1,78.9,32.5,20.0,48805,17.9
01019,Cherokee,AL,Alabama,6.6,11.8,39.3,25666,10.8,76.3,28.8,19.8,46621,14.3
01021,Chilton,AL,Alabama,6.3,12.0,39.8,46431,12.1,77.1,30.0,19.3,62471,14.5
01023,Choctaw,AL,Alabama,6.8,15.0,44.5,12252,11.8,79.6,33.5,20.3,43299,19.1
01025,Clarke,AL,Alabama,6.5,14.9,44.2,22337,11.6,79.9,32.5,19.7,47549,22.4
01027,Clay,AL,Alabama,6.8,12.9,42.4,14111,11.7,77.4,30.5,20.0,48074,17.6
01029,Cleburne,AL,Alabama,6.5,11.7,37.1,15639,10.6,76.3,28.7,19.7,51553,12.9
01031,Coffee,AL,Alabama,6.3,12.7,40.8,55643,11.7,77.6,28.8,18.7,62199,16.3
01033,Colbert,AL,Alabama,6.1,12.1,37.4,58361,10.2,77.9,26.9,18.9,56149,15.9
01035,Conecuh,AL,Alabama,7.6,16.8,46.8,11174,13.6,79.5,36.6,20.8,39888,18.4
01037,Coosa,AL,Alabama,6.6,13.5,41.6,10268,11.9,78.0,30.6,19.5,52279,11.1
01039,Covington,AL,Alabama,6.6,12.8,38.1,37952,10.9,77.7,29.7,20.0,48772,18.8
01041,Crenshaw,AL,Alabama,6.5,13.4,40.3,13101,11.7,78.5,30.9,19.6,48557,14.9
01043,Cullman,AL,Alabama,6.3,11.0,36.2,92016,10.5,76.9,25.9,18.9,58119,13.0
01045,Dale,AL,Alabama,6.6,13.7,41.5,49871,11.8,78.2,30.6,19.6,52813,17.5
01047,Dallas,AL,Alabama,7.2,18.1,46.5,36165,13.0,81.8,36.1,20.3,37180,27.1
